* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:30:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RIGHT_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
247.924786, 57.534, -174.1685
248.290997, 57.512, 178.9980
248.657208, 57.372, 172.9629
249.023419, 57.129, 167.6714
249.389630, 56.772, 163.1016
249.755841, 56.269, 159.4106
250.122052, 55.585, 157.0571
250.488263, 54.715, 156.9316
250.854473, 53.758, 160.4468
251.220684, 53.071, 169.0059
251.586895, 53.305, -178.6270
251.953106, 54.708, -168.0220
252.319317, 56.695, -163.2119
252.685528, 58.650, -163.6548
253.051739, 60.317, -167.3784
253.417950, 61.656, -172.7563
253.784161, 62.717, -178.7144
254.150372, 63.594, 175.3086
254.516582, 64.381, 169.3745
254.882793, 65.133, 163.1401
255.249004, 65.838, 156.1479
255.615215, 66.428, 148.1572
255.981426, 66.820, 139.2930
256.347637, 66.946, 129.9985
256.713848, 66.776, 120.9219
257.080059, 66.325, 112.8120
257.446270, 65.672, 106.3770
257.812481, 64.961, 101.9932
258.178692, 64.355, 99.3223
258.544902, 63.935, 97.3232
258.911113, 63.633, 95.0200
259.277324, 63.310, 92.2632
259.643535, 62.886, 89.6792
260.009746, 62.401, 88.0547
260.375957, 61.995, 87.6074
260.742168, 61.788, 87.5845
261.108379, 61.748, 86.8066
261.474590, 61.712, 84.7407
261.840801, 61.519, 81.8481
262.207012, 61.103, 79.1768
262.573222, 60.523, 77.8335
262.939433, 59.948, 78.4438
263.305644, 59.578, 80.6440
263.671855, 59.507, 83.2256
264.038066, 59.667, 85.1558
264.404277, 59.956, 86.2168
264.770488, 60.337, 86.5806
265.136699, 60.833, 86.1602
265.502910, 61.441, 84.4834
265.869121, 62.089, 81.0820
266.235332, 62.671, 75.8560
266.601542, 63.096, 69.0850
266.967753, 63.314, 61.2314
267.333964, 63.318, 52.7563
267.700175, 63.137, 43.9878
268.066386, 62.817, 35.0303
268.432597, 62.405, 25.7173
268.798808, 61.926, 15.6431
269.165019, 61.373, 4.2983
269.531230, 60.713, -8.7764
269.897441, 59.922, -23.9116
270.263652, 59.020, -41.2998
270.629862, 58.100, -60.9312
270.996073, 57.328, -82.3696
271.362284, 56.883, -104.5142
271.728495, 56.835, -125.8540
272.094706, 57.095, -145.2778
272.460917, 57.481, -162.5103
272.827128, 57.807, -177.7798
273.193339, 57.924, 168.7163
273.559550, 57.732, 157.1216
273.925761, 57.189, 148.0059
274.291972, 56.347, 142.2832
274.658182, 55.387, 140.8203
275.024393, 54.597, 143.6162
275.390604, 54.197, 149.4907
275.756815, 54.254, 157.3999
276.123026, 54.937, 166.7319
276.489237, 56.463, 174.8867
276.855448, 58.579, 178.1758
277.221659, 60.720, 175.7505
277.587870, 62.513, 169.0942
277.954081, 63.821, 159.9761
278.320291, 64.622, 149.8125
278.686502, 64.941, 139.7246
279.052713, 64.835, 130.6885
279.418924, 64.402, 123.5918
279.785135, 63.804, 119.0806
280.151346, 63.261, 117.1504
280.517557, 62.955, 116.7915
280.883768, 62.905, 116.4883
281.249979, 62.976, 115.3037
281.616190, 63.015, 113.2393
281.982401, 62.938, 110.7822
282.348611, 62.719, 108.4487
282.714822, 62.353, 106.6582
283.081033, 61.829, 105.8843
283.447244, 61.150, 106.9536
283.813455, 60.420, 111.2295
284.179666, 60.006, 119.9009
284.545877, 60.505, 131.3066
284.912088, 62.050, 140.1978
285.278299, 64.077, 143.3438
285.644510, 66.062, 141.3496
286.010721, 67.785, 135.8218
286.376931, 69.189, 128.0059
286.743142, 70.270, 118.7227
287.109353, 71.039, 108.5220
287.475564, 71.506, 97.8057
287.841775, 71.679, 86.9121
288.207986, 71.569, 76.1509
288.574197, 71.189, 65.8418
288.940408, 70.557, 56.3315
289.306619, 69.708, 47.9888
289.672830, 68.702, 41.1636
290.039041, 67.629, 36.0684
290.405251, 66.600, 32.5762
290.771462, 65.706, 30.0815
291.137673, 64.958, 27.6758
291.503884, 64.275, 24.6108
291.870095, 63.529, 20.6357
292.236306, 62.598, 15.9771
292.602517, 61.392, 11.1558
292.968728, 59.850, 6.8643
293.334939, 57.923, 3.9707
293.701150, 55.581, 3.6914
294.067361, 52.835, 8.0156
294.433571, 49.936, 20.3125
294.799782, 47.917, 43.2158
295.165993, 48.084, 69.0669
295.532204, 49.680, 86.9141
295.898415, 51.498, 97.1138
296.264626, 53.201, 102.6816
296.630837, 54.757, 105.0376
296.997048, 56.136, 104.6719
297.363259, 57.268, 101.9316
297.729470, 58.072, 97.3140
298.095681, 58.478, 91.4780
298.461891, 58.425, 85.2383
298.828102, 57.865, 79.6392
299.194313, 56.770, 76.2036
299.560524, 55.220, 77.3652
299.926735, 53.694, 86.2466
300.292946, 53.318, 101.9053
300.659157, 54.488, 115.0186
301.025368, 56.145, 120.6323
301.391579, 57.541, 121.0928
301.757790, 58.513, 119.2207
302.124000, 59.102, 116.7627
302.490211, 59.394, 114.7603
302.856422, 59.499, 113.8530
303.222633, 59.538, 114.3730
303.588844, 59.645, 116.2876
303.955055, 59.942, 119.1113
304.321266, 60.487, 121.9736
304.687477, 61.251, 123.9580
305.053688, 62.137, 124.4893
305.419899, 63.031, 123.4629
305.786110, 63.841, 121.1279
306.152320, 64.516, 117.9043
306.518531, 65.036, 114.2505
306.884742, 65.417, 110.5684
307.250953, 65.694, 107.1260
307.617164, 65.914, 104.0015
307.983375, 66.114, 101.0820
308.349586, 66.302, 98.1689
308.715797, 66.460, 95.1421
309.082008, 66.562, 92.0757
309.448219, 66.602, 89.2163
309.814430, 66.615, 86.8228
310.180640, 66.670, 84.9131
